dataset,topology_type,timestep,metagate_selector,metagate_confidence,metagate_mlu,oracle_selector,oracle_mlu,bn_mlu,topk_mlu,sens_mlu,gnn_mlu,correct,t_bn_ms,t_topk_ms,t_sens_ms,t_gnn_ms,t_features_ms,t_mlp_ms,t_lp_ms,t_decision_ms,t_total_ms
abilene,known,466,sensitivity,0.37416335940361023,0.062052406978539365,topk,0.0620524068608107,0.0620524068638553,0.0620524068608107,0.0620524069785393,0.0620524070039455,0,0.5283749997033738,0.023499999770137947,0.6692920005662018,2.101792000757996,0.847750000502856,0.15783300023031188,23.193957999865233,4.328542001530877,28.698290999273013
abilene,known,467,sensitivity,0.38043731451034546,0.05758662340085025,sensitivity,0.0575866234008502,0.0575866234517591,0.0575866234251734,0.0575866234008502,0.0575866234771966,1,0.6200000007083872,0.02166599915653933,0.6650420000369195,1.9480829996609828,0.7565830001112772,0.1535420005893684,23.710667000159447,4.164916000263474,29.103167000357644
abilene,known,468,sensitivity,0.3520203232765198,0.05520133814060483,bottleneck,0.0552013380281056,0.0552013380281056,0.0552013381447224,0.0552013381406048,0.0552013381406048,0,0.5055419997006538,0.018375000763626304,0.6497909998870455,1.8954170000142767,0.8073329991020728,0.1490419999754522,64.61241699980746,4.025499999443127,69.8810419999063
abilene,known,469,topk,0.36206257343292236,0.057614930940646056,bottleneck,0.0576149307935415,0.0576149307935415,0.057614930940646,0.0576149307935415,0.0576149309031284,0,2.724083000430255,0.42358300015621353,2.4307499998030835,8.782708000580897,2.908166999986861,0.47854200056463014,34.77866699995502,17.74783300152194,55.244000000129745
abilene,known,470,sensitivity,0.4803440272808075,0.05914721272282119,gnn,0.0591472127126908,0.0591472128835693,0.059147212729938,0.0591472127228211,0.0591472127126908,0,0.7091670004228945,0.023999999939405825,0.8527079999112175,2.7161250000062864,1.1396250001780572,0.4407920005178312,54.690915999344725,5.882417000975693,61.83958299970982
abilene,known,471,topk,0.4002377688884735,0.05960550345755858,gnn,0.0596055032726656,0.0596055032907729,0.0596055034575585,0.0596055032911046,0.0596055032726656,0,0.8256669998445432,0.032208000448008534,0.8084999999482534,6.852083999547176,3.4760839998853044,1.1842080002679722,59.51537500004633,13.178750999941258,76.50508400001854
abilene,known,472,topk,0.37087947130203247,0.05830233656809193,gnn,0.0583023365091767,0.0583023365095123,0.0583023365680919,0.0583023365095123,0.0583023365091767,0,0.5975000003672903,0.025083999389607925,0.8041249993766542,3.838958999949682,0.8447919999525766,0.18195899974671192,57.81562500033033,6.292418998782523,65.79762500041397
abilene,known,473,sensitivity,0.3668185770511627,0.05732014364443833,gnn,0.0573201436276066,0.0573201436839644,0.0573201436447412,0.0573201436444383,0.0573201436276066,0,0.6774579996999819,0.02779099941108143,0.6974160005484009,2.043792000222311,0.7877499992900994,0.14362500041897874,26.881542000410263,4.377831999590853,32.50000000025466
abilene,known,474,topk,0.35506799817085266,0.0566726710840909,topk,0.0566726710840909,0.0566726711481417,0.0566726710840909,0.0566726711433535,0.0566726710964276,1,0.5270829997243709,0.020417000087036286,0.6607919995076372,1.94445800025278,0.765666000006604,0.14087499948800541,24.461499999233638,4.059290999066434,29.735250000157976
abilene,known,475,topk,0.4951757490634918,0.055905283715379304,gnn,0.0559052836529643,0.0559052837436957,0.0559052837153793,0.0559052836563997,0.0559052836529643,0,0.5250419999356382,0.01941699974850053,0.662707999254053,2.1088339999550954,1.1415419994591502,0.23733400030323537,24.627249999866763,4.694876998655673,30.485291999866604
